Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax,meanTemp,TotPrecip,Max24hrPrecip
1,1949,12,49,37,29,22.6,37.3,29.9,0.97,0.52
2,1949,18,66,44,32,30.5,44.1,37.3,5.89,1.83
3,1949,30,63,44,43,37.9,53.2,45.5,3.54,0.65
4,1949,34,73,46,46,40.8,59.4,50.1,1.18,0.25
5,1949,36,80,52,52,46.2,68.4,57.3,1.3,0.81
6,1949,43,84,53,61,47.3,70.8,59.1,0.93,0.28
7,1949,43,86,57,62,51.1,74.1,62.6,1.04,0.54
8,1949,48,92,62,66,52.9,74.5,63.7,0.43,0.25
9,1949,40,87,62,60,50.5,71,60.8,1.43,0.73
10,1949,28,71,49,47,40.5,56.6,48.6,3.85,1.17
11,1949,35,74,49,49,42.6,56.2,49.4,6.78,1.38
12,1949,17,55,48,30,33.2,43.5,38.4,5.3,1.27
1,1950,0,48,42,16,18.7,30.6,24.6,8.91,1.46
2,1950,1,58,46,27,33.9,46.1,40,5.74,0.83
3,1950,27,56,46,41,36.2,47.9,42,8.4,2.08
4,1950,30,74,45,46,37.5,55.3,46.4,2.92,0.75
5,1950,34,79,49,49,41.6,61.6,51.6,0.78,0.28
6,1950,43,84,57,52,50.5,69.8,60.1,0.59,0.22
7,1950,47,86,56,64,52.2,75.1,63.6,1,0.36
8,1950,44,86,57,63,52.2,75.4,63.8,2.17,1.2
9,1950,36,86,57,55,47.3,68.3,57.8,2.3,0.99
10,1950,34,71,51,47,42.6,55.7,49.2,6.68,0.92
11,1950,25,64,54,37,38.3,48.8,43.6,7.98,1.17
12,1950,30,58,52,37,40.4,49.1,44.8,7.14,0.88
1,1951,11,54,42,27,31.7,42.2,36.9,6.8,1.13
2,1951,2,57,49,40,33.4,46.8,40.1,8.76,2.98
3,1951,24,63,42,32,32.3,46.4,39.3,3.76,0.65
4,1951,29,77,44,50,38.1,60.9,49.5,0.65,0.54
5,1951,32,81,51,53,43.7,64.8,54.3,1.61,0.44
6,1951,40,92,57,56,49,73.2,61.1,0.13,0.07
7,1951,47,96,58,65,52.4,76.2,64.3,0.31,0.25
8,1951,44,85,55,57,50,73.3,61.6,1.02,0.76
9,1951,40,87,56,57,48.6,69.4,59.1,2.03,0.92
10,1951,32,80,53,47,43.7,57.8,50.8,5.87,0.93
11,1951,28,57,44,39,38.3,50.8,44.5,5.44,0.81
12,1951,16,49,41,25,31.3,41.7,36.5,3.92,0.59
1,1952,10,58,44,28,31.3,41.5,36.4,4.89,1
2,1952,26,60,42,38,34.7,46.6,40.6,2.46,0.74
3,1952,28,58,45,43,35.8,48.8,42.3,3.52,0.68
4,1952,29,70,46,49,38.1,58.8,48.5,2.03,0.7
5,1952,33,80,49,53,44.1,63.9,54,0.99,0.24
6,1952,38,75,54,51,47.3,65.7,56.5,1.04,0.32
7,1952,45,89,56,61,51.4,75.5,63.4,0.41,0.33
8,1952,44,92,57,63,52,74,63,0.7,0.38
9,1952,39,88,56,58,47.7,70.6,59.2,0.32,0.12
10,1952,35,78,52,50,45,63.5,54.3,1.29,0.36
